Time,lowAlpha,highAlpha,lowBeta,highBeta
620.461894035,9649,1975,2961,4024
621.445982933,4557,2094,4924,4775
622.452143908,215,314,1095,6277
623.458357096,682,497,335,618
624.443281889,12547,2184,1247,2922
625.444730997,6213,13377,9960,11294
626.444587946,6732,1253,5274,3371
627.424768925,7853,11153,7223,9159
628.433495045,1526,721,928,2922
629.436141014,15153,5692,3772,2598
630.418480873,298101,37690,101300,28485
631.417228937,5495,3058,5142,3447
632.424719095,2170,937,2921,5124
633.403627872,14790,2926,7690,3334
634.412415028,5012,2637,13972,2726
635.418236971,54855,15340,53301,22288
636.399882078,4189,867,2682,5500
637.396138906,1296,1726,2634,4039
638.4035151,1966,1482,5305,4019
639.381979942,3543,5446,3330,3796
640.391103983,492,1979,1294,4122
641.396141052,824,4088,862,4090
642.379739046,6045,6693,2352,4035
643.380728006,3319,1946,3053,4399
644.359750032,25135,21866,8531,20627
645.369487047,1945,2661,1547,3297
646.364877939,2226,4160,2392,2548
647.355931997,22823,3160,4773,2851
648.350918055,8050,2122,5937,4535
649.359797955,2095,5089,2253,2119
650.338577032,1209,9771,3569,4808
651.348300934,24961,3418,1947,12802
652.348334074,7693,4858,5640,5744
653.334664106,34740,20248,18685,29238
654.33712697,18644,4799,17908,19933
655.333605051,21746,15152,9356,9671
656.32486701,10091,7415,2628,3029
657.32002306,371,549,1637,2252
658.334884882,4109,5269,7830,7751
659.313606977,643,1399,323,1861
660.317529917,120,1015,1390,1793
661.324619055,4112,9797,2816,4599
662.297180891,1269,3100,2664,5743
663.298578024,7904,535,1623,2150
664.307053089,2757,4902,4293,20132
665.293812037,3362,5160,4144,2641
666.294779062,1432,1497,3377,7181
667.306267977,3576,2998,2816,5325
668.281281948,3321,1369,2630,5469
669.26394701,1838,6627,2283,2649
670.284652948,13678,24438,10905,4221
671.272526979,899,848,2136,917
672.248568058,1078,1752,1244,4354
673.277345896,377,372,620,788
674.25386405,4630,2158,3456,4114
675.246288061,2771,888,1901,5695
676.264667988,17748,5299,10868,4739
677.24882102,288,859,1526,735
678.236521959,666,21234,40747,6043
679.251405954,4399,3421,4772,4275
680.23499608,734,3061,11341,3255
681.218811989,1442,3963,4084,4605
682.24384594,45990,14370,25449,9931
683.228377104,3250,1744,3004,1750
684.20719409,11263,34753,9515,12982
685.232044935,12576,22892,27228,15989
686.218611956,2135,345,1293,2098
687.198940039,9862,13041,13247,8951
688.22398901,2451,569,2165,949
689.207788944,52271,30549,44179,50661
690.187587023,1164,1135,1974,2731
691.210125923,1597,4526,930,4233
692.198577881,4867,4638,2285,2888
693.183655977,644,2028,903,2380
694.172472,10758,7243,16432,6537
695.18612504,642,482,2134,2301
696.172420979,2472,2168,1541,2318
697.151030064,12666,12993,8820,5715
698.173636913,894,1314,1898,3270
699.162215948,6688,2372,1532,1822
700.138783932,25962,29883,8537,6024
701.168674946,5847,1520,3295,3280
702.153621912,33607,17712,23520,17763
703.138828039,412,1644,2557,1417
704.154999971,48411,22873,9379,7530
705.137448072,13623,1136,5051,12868
706.1214571,54155,10316,19376,21662
707.14783597,6007,3619,1643,2656
708.13150692,9780,5730,2365,4021
709.117567062,7061,5778,16131,4488
710.133961916,1626,2190,2048,1514
711.120008945,2425,3901,3824,4871
712.101272106,35828,15707,13907,12644
713.121378899,7454,3068,3018,2984
714.111232042,15016,17269,10234,12516
715.09373498,4492,5273,2322,2922
716.108581066,10565,31150,14235,8718
717.097323895,723,370,1806,372
718.083734035,31235,27689,9349,21604
719.082638979,6387,2445,1233,1422
720.081283092,2293,2250,2258,3129
721.070446968,14648,7133,6436,11410
722.076725006,17998,2187,7617,9425
723.076272964,524,293,2904,2653
724.062728882,1143,1834,531,1464
725.065023899,928,1763,4024,4757
726.06496191,4781,1630,4139,1486
727.052715063,4327,2656,2862,6230
728.052512884,1935,2902,4504,2133
729.053881884,2702,5196,12294,15865
730.036604881,27448,25345,15403,15453
731.042537928,29294,33823,20102,5789
732.049079895,3022,9168,14334,8317
733.027920008,4633,12429,2598,7089
734.025218964,3924,7271,4356,939
735.031244993,17511,10755,8567,5736
736.014025927,15838,6279,28214,14394
737.021477938,2891,1829,4146,2437
738.020030975,6760,3423,3891,1549
739.001471043,13551,23848,19518,9814
740.011909962,2272,5615,2955,1855
741.015162945,3760,9965,5706,25170
741.995124102,9117,938,563,1416
743.000319004,3922,2042,2647,2141
743.986639023,6679,2000,13225,6000
744.985358953,12774,8432,12696,7030
745.987837076,2968,1591,1366,2638
746.973865986,9194,10084,2779,866
747.976285934,1519,2149,591,1253
748.979137897,19719,9602,9392,5504
749.959084988,2141,1885,3666,2253
750.96015501,9014,3023,3477,919
751.970547915,4053,1715,3733,964
